,index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace,location_numeric,margin,eigen_opp_rating,eigen_team_rating,eigen_opp_game_score,eigen_team_game_score,em_opp_rating,em_team_rating,em_opp_game_score,em_team_game_score,adj_em_opp_rating,adj_em_team_rating,adj_em_opp_game_score,adj_em_team_game_score,team_most_recent_gs1,team_most_recent_gs2,team_most_recent_gs3,opp_most_recent_gs1,opp_most_recent_gs2,opp_most_recent_gs3,team_rating,opp_rating,team_rating*opp_rating
4569,2022-02-19-12-connecticut,CONNECTICUT,XAVIER,72,61,67.3,Home,2022-02-19,True,1,11,48.07298067736019,48.10988327064896,-721.0947101604029,721.6482490597343,18.18042982536383,23.499804594486307,-272.70644738045746,352.4970689172946,15.98778419322176,24.585828273804008,-239.8167628983264,368.78742410706013,368.78742410706013,221.27245446423606,221.27245446423606,-143.89005773899584,-143.89005773899584,159.8778419322176,24.585828273804008,15.98778419322176,393.0729166531884
4570,2022-02-22-20-connecticut,CONNECTICUT,VILLANOVA,71,69,63.1,Home,2022-02-22,True,1,2,48.13392486124707,48.10988327064896,-288.8035491674824,288.65929962389373,26.965312545009112,23.499804594486307,-161.79187527005467,140.99882756691784,24.07614003392678,24.585828273804008,-144.4568402035607,147.51496964282404,147.51496964282404,368.78742410706013,368.78742410706013,288.9136804071214,288.9136804071214,24.07614003392678,24.585828273804008,24.07614003392678,591.9318443701816
4571,2022-02-19-16-coppin-state,COPPIN-STATE,NORFOLK-STATE,59,89,74.4,Home,2022-02-19,True,1,-30,47.91772995965988,47.820268005007385,1245.860978951157,-1243.326968130192,-4.198397162780054,-18.24718388275386,-109.15832623228141,474.42678095160034,-4.571397686488408,-16.383068462649067,-118.8563398486986,425.95978002887574,-16.383068462649067,65.53227385059627,81.91534231324533,4.571397686488408,-50.285374551372485,31.999783805418854,-16.383068462649067,-4.571397686488408,74.89352126773514
4572,2022-02-21-19-howard,COPPIN-STATE,HOWARD,86,82,75.6,Away,2022-02-21,True,-1,4,47.87851408542308,47.820268005007385,0.0,0.0,-9.851222977268037,-18.24718388275386,-0.0,-0.0,-10.221151542578323,-16.383068462649067,-0.0,-0.0,425.95978002887574,425.95978002887574,-16.383068462649067,-0.0,-61.326909255469936,-61.326909255469936,-16.383068462649067,-10.221151542578323,167.45382548917178
4573,2022-02-18-19-dartmouth,CORNELL,DARTMOUTH,59,71,68.3,Away,2022-02-18,True,-1,-12,47.92196919928596,47.90547840272568,766.7515071885754,-766.4876544436108,-3.587326170267602,-5.964414589476519,-57.39721872428163,95.4306334316243,-3.736065615892823,-5.911883312042809,-59.77704985428517,94.59013299268494,-17.735649936128425,-100.50201630472775,5.911883312042809,183.0672151787483,22.416393695356938,26.15245931124976,-5.911883312042809,-3.736065615892823,22.08718396729372
4574,2022-02-19-19-harvard,CORNELL,HARVARD,72,77,64.7,Away,2022-02-19,True,-1,-5,47.905816545540176,47.90547840272568,431.1523489098616,-431.1493056245311,-5.915672531114069,-5.964414589476519,-53.24105278002662,53.67973130528867,-6.244403175778719,-5.911883312042809,-56.19962858200847,53.20694980838528,94.59013299268494,94.59013299268494,-17.735649936128425,-56.19962858200847,-74.93283810934463,-74.93283810934463,-5.911883312042809,-6.244403175778719,36.916182928553326
4575,2022-02-20-15-creighton,CREIGHTON,MARQUETTE,83,82,73.9,Home,2022-02-20,True,1,1,48.07605369031075,48.053562984004685,-240.38026845155375,240.26781492002343,18.62339347906925,15.38143986545606,-93.11696739534625,76.9071993272803,19.25957989107598,16.267623688285443,-96.2978994553799,81.33811844142721,130.14098950628355,130.14098950628355,244.01435532428164,288.8936983661397,288.8936983661397,-192.5957989107598,16.267623688285443,19.25957989107598,313.3075980624936
4576,2022-02-23-18-st-johns-ny,CREIGHTON,ST-JOHNS-NY,81,78,78.5,Away,2022-02-23,True,-1,3,48.06828500447735,48.053562984004685,48.06828500447735,-48.053562984004685,17.503565636943108,15.38143986545606,17.503565636943108,-15.38143986545606,16.140233595891853,16.267623688285443,16.140233595891853,-16.267623688285443,81.33811844142721,81.33811844142721,130.14098950628355,613.3288766438905,613.3288766438905,145.26210236302668,16.267623688285443,16.140233595891853,262.56324637899087
4577,2022-02-18-19-dartmouth,DARTMOUTH,CORNELL,71,59,68.3,Home,2022-02-18,True,1,12,47.90547840272568,47.92196919928596,-766.4876544436108,766.7515071885754,-5.964414589476519,-3.587326170267602,95.4306334316243,-57.39721872428163,-5.911883312042809,-3.736065615892823,94.59013299268494,-59.77704985428517,-59.77704985428517,183.0672151787483,22.416393695356938,94.59013299268494,-17.735649936128425,-100.50201630472775,-3.736065615892823,-5.911883312042809,22.08718396729372
4578,2022-02-19-19-dartmouth,DARTMOUTH,COLUMBIA,79,50,72.8,Home,2022-02-19,True,1,29,47.79379549760068,47.92196919928596,-1577.1952514208224,1581.4249835764367,-22.063099660616103,-3.587326170267602,728.0822888003314,-118.38176361883086,-19.913586539364996,-3.736065615892823,657.1483557990449,-123.29016532446316,-123.29016532446316,-59.77704985428517,-59.77704985428517,657.1483557990449,238.96303847237994,238.96303847237994,-3.736065615892823,-19.913586539364996,74.39846595882771
