
index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace
2022-01-03-17-mississippi-valley-state,ALABAMA-STATE,mississippi-valley-state,84,75,73.2,Away,2022-01-03,True

2022-01-05-20-arkansas-pine-bluff,ALABAMA-STATE,arkansas-pine-bluff,68,70,63.6,Away,2022-01-05,True

2022-01-08-17-alabama-state,ALABAMA-STATE,jackson-state,72,57,70.2,Home,2022-01-08,True

2022-01-10-21-alabama-state,ALABAMA-STATE,alcorn-state,60,70,71.5,Home,2022-01-10,True

2022-01-15-17-alabama-state,ALABAMA-STATE,alabama-am,59,55,64.7,Home,2022-01-15,True

2022-01-22-18-prairie-view,ALABAMA-STATE,prairie-view,67,70,71.4,Away,2022-01-22,True

2022-01-24-20-texas-southern,ALABAMA-STATE,texas-southern,66,73,75.0,Away,2022-01-24,True

2022-01-29-20-alabama-state,ALABAMA-STATE,bethune-cookman,79,73,67.3,Home,2022-01-29,True

2022-01-31-21-alabama-state,ALABAMA-STATE,florida-am,65,66,62.5,Home,2022-01-31,True

2022-02-05-15-grambling,ALABAMA-STATE,grambling,80,72,78.0,Away,2022-02-05,True

2022-02-07-21-southern,ALABAMA-STATE,southern,58,72,70.3,Away,2022-02-07,True

2021-11-09-21-alabama,ALABAMA,louisiana-tech,93,64,73.0,Home,2021-11-09,True

2021-11-12-20-alabama,ALABAMA,south-dakota-state,104,88,81.1,Home,2021-11-12,True

2021-11-16-19-alabama,ALABAMA,south-alabama,73,68,82.3,Home,2021-11-16,True

2021-11-19-20-alabama,ALABAMA,oakland,86,59,75.0,Home,2021-11-19,True

2021-11-25-17-iona,ALABAMA,iona,68,72,73.9,Neutral,2021-11-25,True

2021-11-26-16-drake,ALABAMA,drake,80,71,73.3,Neutral,2021-11-26,True

2021-11-28-18-alabama,ALABAMA,miami-fl,96,64,69.9,Neutral,2021-11-28,True

2021-12-04-20-gonzaga,ALABAMA,gonzaga,91,82,82.2,Neutral,2021-12-04,True

2021-12-11-22-alabama,ALABAMA,houston,83,82,72.9,Home,2021-12-11,True

2021-12-14-21-memphis,ALABAMA,memphis,78,92,76.8,Away,2021-12-14,True

